Title,Company,Location,Cleaned_Salary,Time (days ago),Cleaned_Experience (Years)
Full Stack Developer,Know Thy Choice,Work from home,700000,3,1
Coding & AI Teacher,SR Edu Technologies,Hyderabad,270000,3,0
Coding & AI Teacher,SR Edu Technologies, Bhuvanagiri,270000,3,0
Mobile App Developer,Jina Code Systems LLP,Gurgaon,440000,3,1
Moodle LMS Developer,Offiql Technologies Private Limited,Bangalore,600000,3,1
Computer Operator Associate,Peerpoint,Work from home,550000,3,0
Digital Marketing Associate,Panache Solutions,Work from home,240000,3,1
System Engineer,Ether Daylight Systems Pvt. Ltd.,Bangalore,240000,4,0
Junior Software Developer,Axe Consultancy And Security Services LLC,Work from home,800000,4,0
Python Developer,Clump Coder,Work from home,200000,4,1
Full Stack Developer,Bentex Group,Work from home,450000,4,1
Full Stack Developer,Eleven Software Solution Private Limited,Hyderabad,200000,4,0
Web Developer,Benetor's,Work from home,235000,4,1
Robotics And Coding Teacher,Amazeheads LLP,Darjeeling,300000,4,0
Junior Content Writer,RecurPost Inc.,Surat,225000,4,0
Python Developer,Allied Infoline Private Limited,South,365000,4,0
Quality Analyst,Softcell Technologies Limited,Thane,200000,4,0
Quality Analyst,Softcell Technologies Limited, Navi Mumbai,200000,4,0
Quality Analyst,Softcell Technologies Limited, Kalyan,200000,4,0
Quality Analyst,Softcell Technologies Limited, Mumbai,200000,4,0
PHP Developer,WES Consultancy & Services Private Limited,Raipur,240000,4,1
Digital Marketing Executive,SMR Securities,Gurgaon,220000,4,1
Software Development (Instructor),NxtWave,Hyderabad,200000,4,1
Business Analyst,Solstice Veridian Services,Chandigarh,300000,4,1
Business Analyst,Solstice Veridian Services, Kharar,300000,4,1
Business Analyst,Solstice Veridian Services, Mohali,300000,4,1
Business Analyst,Solstice Veridian Services, Panchkula,300000,4,1
Back End Executive,Peerpoint,Work from home,550000,4,0
Associate Software Engineer,Kanerika Software Private Limited,Hyderabad,500000,4,0
Coding Instructor,Codeshala Private Limited,Work from home,215500,4,0
Associate Software Developer,Benepik,Gurgaon,360000,4,1
Principal Java Engineer,Kanerika Software Private Limited,Hyderabad,3100000,4,1
IPQA,Salus Pharmaceutical,Baddi,430000,5,1
Senior Backend Developer,AMIT SINGH,Work from home,500000,5,1
Technical Product Manager,BlackLight Studio Works,Delhi,400000,5,0
Technical Product Manager,BlackLight Studio Works, Gurgaon,400000,5,0
Technical Product Manager,BlackLight Studio Works, Noida,400000,5,0
Cloud Computing Specialist,INSTAGURU PRIVATE LIMITED,Work from home,200000,5,1
Junior Backend Developer,Hustlr Staffing Services,Lucknow,375000,5,1
Junior SAP ABAP Developer,Hustlr Staffing Services,Lucknow,1015000,5,1
Associate Full Stack Developer,Kradle Joy (OPC) Private Limited,Noida,815000,5,1
IOS Developer | SwiftUI/Swift | Flutter | Mobile App Developer | Python Developer,BZness LLC,Work from home,415000,5,1
PHP Developer,P R Digitals,Jaipur,540000,5,1
Tech Trainer,ENpower,Gujarat,212505,6,0
Full Stack Developer,Anansi Tech Private Limited,Rajkot,240000,6,0
Front End Developer,AY Technologies,Delhi,350000,6,1
SAP BASIS Trainee,Waddaya Solutions Private Limited,Delhi,286000,6,0
Junior Software Developer,OmniHabits.com,Work from home,250000,6,1
Business Development Executive,Aaptatt,Delhi,475000,6,0
Business Development Executive,Aaptatt, Gurgaon,475000,6,0
Business Development Executive,Aaptatt, Noida,475000,6,0
Junior Full Stack Developer,BXP Support And Solutions Private Limited,Bangalore,325000,6,0
Shopify Developer,Growify Digital,Delhi,250000,6,1
Junior Web Developer,MediaCom India,Work from home,650000,6,0
Junior Software Developer,MediaCom India,Work from home,650000,6,0
Junior Software Tester,MediaCom India,Work from home,650000,6,0
Junior Full Stack Developer,TeamUp Consultants,Salem,200000,7,0
Fullstack Developer (NestJS + Next.js + Node.js + MongoDB),SeekHelpers,Work from home,330000,7,1
Front End Developer,Okie Dokie Solutions LLP,Work from home,425000,7,0
Junior Full Stack Developer,DeepNexus.in,Work from home,625000,7,1
Product Executive,Voyage Robotics Private Limited,Nagpur,200000,7,0
Senior Web Developer,Technofra,Mumbai,225000,7,1
Backend Developer,BLUECS.IN,Work from home,300000,7,1
Product Analyst,Sharpsell Technology Solutions,Bangalore,500000,7,0
Junior Web Developer,Sped@home,Mumbai,400000,7,1
Flutter Mobile Developer,SeekHelpers,Work from home,330000,7,1
